Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
ATRIAL FIBRILLATION,25,9372,0.374,0.24,"(np.float64(0.085), np.float64(0.486))",0.903,"(np.float64(0.896), np.float64(0.909))",0.013,"(np.float64(0.004), np.float64(0.024))",0.007,"(np.float64(0.001), np.float64(0.011))",0.998,"(np.float64(0.997), np.float64(0.999))",0.665,"(np.float64(0.525), np.float64(0.767))",0.005,"(np.float64(0.003), np.float64(0.009))"
WITH AV DISSOCIATION,70,9327,0.01,0.029,"(np.float64(0.0), np.float64(0.067))",0.995,"(np.float64(0.994), np.float64(0.996))",0.033,"(np.float64(0.0), np.float64(0.099))",0.04,"(np.float64(0.0), np.float64(0.086))",0.993,"(np.float64(0.991), np.float64(0.994))",0.658,"(np.float64(0.603), np.float64(0.717))",0.03,"(np.float64(0.011), np.float64(0.067))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.788,0.154,"(np.float64(0.108), np.float64(0.192))",0.957,"(np.float64(0.952), np.float64(0.96))",0.098,"(np.float64(0.069), np.float64(0.131))",0.072,"(np.float64(0.049), np.float64(0.098))",0.981,"(np.float64(0.978), np.float64(0.984))",0.604,"(np.float64(0.564), np.float64(0.641))",0.042,"(np.float64(0.034), np.float64(0.062))"
WITH COMPLETE HEART BLOCK,67,9330,0.01,0.403,"(np.float64(0.267), np.float64(0.528))",0.712,"(np.float64(0.705), np.float64(0.723))",0.019,"(np.float64(0.012), np.float64(0.027))",0.01,"(np.float64(0.006), np.float64(0.013))",0.994,"(np.float64(0.993), np.float64(0.996))",0.575,"(np.float64(0.497), np.float64(0.654))",0.009,"(np.float64(0.007), np.float64(0.011))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.273,0.744,"(np.float64(0.725), np.float64(0.758))",0.367,"(np.float64(0.357), np.float64(0.379))",0.431,"(np.float64(0.416), np.float64(0.445))",0.304,"(np.float64(0.291), np.float64(0.316))",0.794,"(np.float64(0.782), np.float64(0.809))",0.565,"(np.float64(0.555), np.float64(0.576))",0.323,"(np.float64(0.308), np.float64(0.34))"
PULMONARY DISEASE PATTERN,3,9394,0.273,0.333,"(np.float64(0.0), np.float64(1.0))",0.913,"(np.float64(0.908), np.float64(0.92))",0.002,"(np.float64(0.0), np.float64(0.007))",0.001,"(np.float64(0.0), np.float64(0.004))",1.0,"(np.float64(0.999), np.float64(1.0))",0.557,"(np.float64(0.099), np.float64(0.922))",0.001,"(np.float64(0.0), np.float64(0.002))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.04,0.685,"(np.float64(0.624), np.float64(0.743))",0.431,"(np.float64(0.424), np.float64(0.44))",0.045,"(np.float64(0.038), np.float64(0.053))",0.023,"(np.float64(0.02), np.float64(0.027))",0.986,"(np.float64(0.982), np.float64(0.99))",0.556,"(np.float64(0.525), np.float64(0.594))",0.022,"(np.float64(0.018), np.float64(0.026))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.515,0.167,"(np.float64(0.0), np.float64(0.5))",0.933,"(np.float64(0.928), np.float64(0.938))",0.003,"(np.float64(0.0), np.float64(0.011))",0.002,"(np.float64(0.0), np.float64(0.005))",0.999,"(np.float64(0.999), np.float64(1.0))",0.554,"(np.float64(0.265), np.float64(0.835))",0.001,"(np.float64(0.0), np.float64(0.003))"
ATRIAL FLUTTER,31,9366,0.727,0.129,"(np.float64(0.035), np.float64(0.263))",0.925,"(np.float64(0.921), np.float64(0.929))",0.011,"(np.float64(0.003), np.float64(0.022))",0.006,"(np.float64(0.0), np.float64(0.012))",0.997,"(np.float64(0.996), np.float64(0.998))",0.542,"(np.float64(0.467), np.float64(0.624))",0.004,"(np.float64(0.003), np.float64(0.006))"
otherwise normal ecg,621,8776,0.02,0.552,"(np.float64(0.507), np.float64(0.589))",0.498,"(np.float64(0.485), np.float64(0.508))",0.128,"(np.float64(0.116), np.float64(0.139))",0.072,"(np.float64(0.066), np.float64(0.081))",0.94,"(np.float64(0.934), np.float64(0.949))",0.529,"(np.float64(0.508), np.float64(0.55))",0.07,"(np.float64(0.063), np.float64(0.078))"
PROLONGED QT,427,8970,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.087,"(np.float64(0.082), np.float64(0.095))",0.045,"(np.float64(0.041), np.float64(0.05))",0.0,"(np.float64(0.0), np.float64(0.0))",0.503,"(np.float64(0.476), np.float64(0.532))",0.047,"(np.float64(0.042), np.float64(0.052))"
