Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LOW VOLTAGE QRS,277,9120,0.303,0.249,"(np.float64(0.206), np.float64(0.292))",0.987,"(np.float64(0.984), np.float64(0.989))",0.295,"(np.float64(0.237), np.float64(0.35))",0.361,"(np.float64(0.297), np.float64(0.428))",0.977,"(np.float64(0.974), np.float64(0.98))",0.891,"(np.float64(0.876), np.float64(0.905))",0.245,"(np.float64(0.195), np.float64(0.301))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.01,0.167,"(np.float64(0.0), np.float64(0.6))",0.999,"(np.float64(0.999), np.float64(1.0))",0.133,"(np.float64(0.0), np.float64(0.333))",0.111,"(np.float64(0.0), np.float64(0.333))",0.999,"(np.float64(0.999), np.float64(1.0))",0.845,"(np.float64(0.682), np.float64(0.994))",0.041,"(np.float64(0.001), np.float64(0.154))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.424,0.671,"(np.float64(0.653), np.float64(0.69))",0.854,"(np.float64(0.847), np.float64(0.86))",0.65,"(np.float64(0.633), np.float64(0.664))",0.63,"(np.float64(0.615), np.float64(0.647))",0.875,"(np.float64(0.868), np.float64(0.88))",0.843,"(np.float64(0.834), np.float64(0.853))",0.699,"(np.float64(0.681), np.float64(0.719))"
ANTERIOR INFARCT,5,9392,0.03,0.2,"(np.float64(0.0), np.float64(0.667))",1.0,"(np.float64(0.999), np.float64(1.0))",0.25,"(np.float64(0.0), np.float64(0.667))",0.333,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.842,"(np.float64(0.591), np.float64(0.999))",0.133,"(np.float64(0.001), np.float64(0.514))"
PROLONGED QT,427,8970,0.141,0.358,"(np.float64(0.315), np.float64(0.408))",0.963,"(np.float64(0.959), np.float64(0.966))",0.334,"(np.float64(0.294), np.float64(0.38))",0.313,"(np.float64(0.272), np.float64(0.359))",0.969,"(np.float64(0.966), np.float64(0.972))",0.841,"(np.float64(0.825), np.float64(0.86))",0.289,"(np.float64(0.25), np.float64(0.336))"
ATRIAL FIBRILLATION,25,9372,0.03,0.16,"(np.float64(0.0), np.float64(0.315))",0.994,"(np.float64(0.992), np.float64(0.996))",0.098,"(np.float64(0.026), np.float64(0.182))",0.07,"(np.float64(0.018), np.float64(0.137))",0.998,"(np.float64(0.997), np.float64(0.999))",0.828,"(np.float64(0.72), np.float64(0.937))",0.03,"(np.float64(0.013), np.float64(0.125))"
LATERAL INFARCT,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.81,"(np.float64(0.493), np.float64(0.992))",0.006,"(np.float64(0.0), np.float64(0.035))"
otherwise normal ecg,621,8776,0.131,0.496,"(np.float64(0.454), np.float64(0.528))",0.848,"(np.float64(0.84), np.float64(0.855))",0.272,"(np.float64(0.244), np.float64(0.293))",0.187,"(np.float64(0.171), np.float64(0.201))",0.96,"(np.float64(0.955), np.float64(0.964))",0.795,"(np.float64(0.781), np.float64(0.81))",0.188,"(np.float64(0.171), np.float64(0.211))"
FUSION COMPLEXES,27,9370,0.03,0.185,"(np.float64(0.05), np.float64(0.328))",0.991,"(np.float64(0.988), np.float64(0.993))",0.083,"(np.float64(0.024), np.float64(0.158))",0.053,"(np.float64(0.015), np.float64(0.096))",0.998,"(np.float64(0.997), np.float64(0.999))",0.783,"(np.float64(0.668), np.float64(0.896))",0.025,"(np.float64(0.014), np.float64(0.052))"
PULMONARY DISEASE PATTERN,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.744,"(np.float64(0.483), np.float64(0.993))",0.005,"(np.float64(0.0), np.float64(0.035))"
INFERIOR INFARCT,8,9389,0.061,0.125,"(np.float64(0.0), np.float64(0.478))",1.0,"(np.float64(1.0), np.float64(1.0))",0.222,"(np.float64(0.0), np.float64(0.517))",1.0,"(np.float64(0.0), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.742,"(np.float64(0.481), np.float64(0.958))",0.137,"(np.float64(0.002), np.float64(0.355))"
