Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.971,"(np.float64(0.968), np.float64(0.975))",0.004,"(np.float64(0.003), np.float64(0.014))"
WITH COMPLETE HEART BLOCK,67,9330,0.232,0.507,"(np.float64(0.385), np.float64(0.627))",0.999,"(np.float64(0.999), np.float64(1.0))",0.624,"(np.float64(0.5), np.float64(0.735))",0.81,"(np.float64(0.639), np.float64(0.917))",0.996,"(np.float64(0.995), np.float64(0.998))",0.969,"(np.float64(0.951), np.float64(0.981))",0.6,"(np.float64(0.503), np.float64(0.699))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.394,0.389,"(np.float64(0.188), np.float64(0.617))",1.0,"(np.float64(1.0), np.float64(1.0))",0.56,"(np.float64(0.363), np.float64(0.744))",1.0,"(np.float64(1.0), np.float64(1.0))",0.999,"(np.float64(0.998), np.float64(0.999))",0.969,"(np.float64(0.919), np.float64(0.999))",0.599,"(np.float64(0.401), np.float64(0.779))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.273,0.5,"(np.float64(0.312), np.float64(0.673))",0.999,"(np.float64(0.999), np.float64(1.0))",0.604,"(np.float64(0.404), np.float64(0.731))",0.762,"(np.float64(0.55), np.float64(0.949))",0.998,"(np.float64(0.997), np.float64(0.999))",0.967,"(np.float64(0.939), np.float64(0.993))",0.528,"(np.float64(0.37), np.float64(0.715))"
RIGHT AXIS DEVIATION,335,9062,0.364,0.549,"(np.float64(0.491), np.float64(0.594))",0.983,"(np.float64(0.98), np.float64(0.985))",0.546,"(np.float64(0.514), np.float64(0.588))",0.543,"(np.float64(0.489), np.float64(0.587))",0.983,"(np.float64(0.981), np.float64(0.986))",0.965,"(np.float64(0.958), np.float64(0.971))",0.576,"(np.float64(0.525), np.float64(0.63))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.253,0.732,"(np.float64(0.696), np.float64(0.766))",0.967,"(np.float64(0.963), np.float64(0.97))",0.681,"(np.float64(0.651), np.float64(0.704))",0.638,"(np.float64(0.61), np.float64(0.665))",0.978,"(np.float64(0.976), np.float64(0.981))",0.964,"(np.float64(0.958), np.float64(0.969))",0.729,"(np.float64(0.698), np.float64(0.755))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.212,0.539,"(np.float64(0.485), np.float64(0.59))",0.98,"(np.float64(0.977), np.float64(0.983))",0.518,"(np.float64(0.476), np.float64(0.553))",0.499,"(np.float64(0.45), np.float64(0.543))",0.983,"(np.float64(0.98), np.float64(0.985))",0.952,"(np.float64(0.944), np.float64(0.961))",0.508,"(np.float64(0.457), np.float64(0.563))"
SINUS TACHYCARDIA,2210,7187,0.313,0.865,"(np.float64(0.852), np.float64(0.88))",0.893,"(np.float64(0.887), np.float64(0.899))",0.782,"(np.float64(0.769), np.float64(0.796))",0.713,"(np.float64(0.696), np.float64(0.726))",0.956,"(np.float64(0.951), np.float64(0.961))",0.951,"(np.float64(0.947), np.float64(0.954))",0.858,"(np.float64(0.845), np.float64(0.87))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.111,0.537,"(np.float64(0.465), np.float64(0.607))",0.98,"(np.float64(0.977), np.float64(0.982))",0.439,"(np.float64(0.385), np.float64(0.487))",0.371,"(np.float64(0.317), np.float64(0.426))",0.99,"(np.float64(0.988), np.float64(0.992))",0.94,"(np.float64(0.926), np.float64(0.953))",0.403,"(np.float64(0.341), np.float64(0.479))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.172,0.52,"(np.float64(0.474), np.float64(0.573))",0.982,"(np.float64(0.98), np.float64(0.985))",0.524,"(np.float64(0.47), np.float64(0.569))",0.528,"(np.float64(0.47), np.float64(0.578))",0.982,"(np.float64(0.979), np.float64(0.984))",0.938,"(np.float64(0.929), np.float64(0.948))",0.504,"(np.float64(0.456), np.float64(0.554))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.242,0.397,"(np.float64(0.332), np.float64(0.47))",0.992,"(np.float64(0.99), np.float64(0.993))",0.441,"(np.float64(0.37), np.float64(0.509))",0.497,"(np.float64(0.431), np.float64(0.567))",0.988,"(np.float64(0.986), np.float64(0.99))",0.935,"(np.float64(0.918), np.float64(0.948))",0.389,"(np.float64(0.318), np.float64(0.464))"
EARLY REPOLARIZATION,249,9148,0.101,0.522,"(np.float64(0.476), np.float64(0.583))",0.975,"(np.float64(0.972), np.float64(0.978))",0.428,"(np.float64(0.38), np.float64(0.475))",0.362,"(np.float64(0.309), np.float64(0.407))",0.987,"(np.float64(0.985), np.float64(0.989))",0.93,"(np.float64(0.915), np.float64(0.943))",0.367,"(np.float64(0.311), np.float64(0.432))"
WITH VARIABLE AV BLOCK,67,9330,0.111,0.299,"(np.float64(0.164), np.float64(0.417))",0.998,"(np.float64(0.997), np.float64(0.999))",0.385,"(np.float64(0.253), np.float64(0.493))",0.541,"(np.float64(0.405), np.float64(0.677))",0.995,"(np.float64(0.994), np.float64(0.996))",0.928,"(np.float64(0.898), np.float64(0.952))",0.334,"(np.float64(0.227), np.float64(0.455))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.121,0.35,"(np.float64(0.268), np.float64(0.415))",0.996,"(np.float64(0.995), np.float64(0.998))",0.43,"(np.float64(0.338), np.float64(0.52))",0.558,"(np.float64(0.456), np.float64(0.653))",0.991,"(np.float64(0.989), np.float64(0.993))",0.924,"(np.float64(0.892), np.float64(0.947))",0.387,"(np.float64(0.279), np.float64(0.457))"
