Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
ATRIAL FLUTTER,31,9366,0.121,0.452,"(np.float64(0.271), np.float64(0.619))",0.998,"(np.float64(0.997), np.float64(0.999))",0.452,"(np.float64(0.286), np.float64(0.607))",0.452,"(np.float64(0.287), np.float64(0.6))",0.998,"(np.float64(0.997), np.float64(0.999))",0.972,"(np.float64(0.953), np.float64(0.984))",0.359,"(np.float64(0.197), np.float64(0.505))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.232,0.562,"(np.float64(0.432), np.float64(0.765))",0.999,"(np.float64(0.998), np.float64(1.0))",0.6,"(np.float64(0.456), np.float64(0.747))",0.643,"(np.float64(0.443), np.float64(0.796))",0.999,"(np.float64(0.998), np.float64(0.999))",0.972,"(np.float64(0.944), np.float64(0.995))",0.57,"(np.float64(0.39), np.float64(0.762))"
ANTEROSEPTAL INFARCT,14,9383,0.071,0.643,"(np.float64(0.38), np.float64(0.919))",0.999,"(np.float64(0.999), np.float64(1.0))",0.581,"(np.float64(0.308), np.float64(0.744))",0.529,"(np.float64(0.304), np.float64(0.801))",0.999,"(np.float64(0.999), np.float64(1.0))",0.97,"(np.float64(0.937), np.float64(0.985))",0.411,"(np.float64(0.217), np.float64(0.661))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.253,0.769,"(np.float64(0.738), np.float64(0.805))",0.966,"(np.float64(0.963), np.float64(0.97))",0.702,"(np.float64(0.678), np.float64(0.727))",0.646,"(np.float64(0.617), np.float64(0.678))",0.981,"(np.float64(0.979), np.float64(0.984))",0.967,"(np.float64(0.961), np.float64(0.972))",0.748,"(np.float64(0.725), np.float64(0.783))"
WITH COMPLETE HEART BLOCK,67,9330,0.263,0.552,"(np.float64(0.423), np.float64(0.657))",0.999,"(np.float64(0.998), np.float64(1.0))",0.667,"(np.float64(0.554), np.float64(0.752))",0.841,"(np.float64(0.735), np.float64(0.953))",0.997,"(np.float64(0.996), np.float64(0.998))",0.967,"(np.float64(0.948), np.float64(0.983))",0.663,"(np.float64(0.527), np.float64(0.763))"
RIGHT AXIS DEVIATION,335,9062,0.303,0.582,"(np.float64(0.53), np.float64(0.627))",0.982,"(np.float64(0.979), np.float64(0.985))",0.563,"(np.float64(0.518), np.float64(0.61))",0.545,"(np.float64(0.501), np.float64(0.592))",0.985,"(np.float64(0.982), np.float64(0.987))",0.965,"(np.float64(0.96), np.float64(0.971))",0.575,"(np.float64(0.513), np.float64(0.625))"
SINUS TACHYCARDIA,2210,7187,0.434,0.812,"(np.float64(0.798), np.float64(0.828))",0.932,"(np.float64(0.926), np.float64(0.937))",0.798,"(np.float64(0.786), np.float64(0.813))",0.785,"(np.float64(0.767), np.float64(0.799))",0.942,"(np.float64(0.937), np.float64(0.946))",0.955,"(np.float64(0.951), np.float64(0.96))",0.867,"(np.float64(0.852), np.float64(0.879))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.182,0.679,"(np.float64(0.637), np.float64(0.724))",0.969,"(np.float64(0.965), np.float64(0.972))",0.54,"(np.float64(0.5), np.float64(0.585))",0.448,"(np.float64(0.41), np.float64(0.487))",0.988,"(np.float64(0.986), np.float64(0.99))",0.955,"(np.float64(0.946), np.float64(0.964))",0.555,"(np.float64(0.504), np.float64(0.606))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.172,0.517,"(np.float64(0.455), np.float64(0.572))",0.983,"(np.float64(0.981), np.float64(0.985))",0.452,"(np.float64(0.395), np.float64(0.521))",0.402,"(np.float64(0.345), np.float64(0.463))",0.989,"(np.float64(0.987), np.float64(0.992))",0.943,"(np.float64(0.932), np.float64(0.955))",0.412,"(np.float64(0.344), np.float64(0.488))"
WITH VARIABLE AV BLOCK,67,9330,0.152,0.373,"(np.float64(0.262), np.float64(0.489))",0.998,"(np.float64(0.997), np.float64(0.999))",0.455,"(np.float64(0.349), np.float64(0.563))",0.581,"(np.float64(0.436), np.float64(0.717))",0.996,"(np.float64(0.994), np.float64(0.997))",0.942,"(np.float64(0.92), np.float64(0.966))",0.412,"(np.float64(0.3), np.float64(0.526))"
